country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_other,abs_reason_in_playground,abs_reason_travelled,nc_reason_others,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SSUD,EASTERN EQUATORIA,KAPOETA SOUTH,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,29,31,60,21,22,43,17,Fail,poor,0,10,4,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,58.82,23.53,0,0,11.76,5.88,0.28
SSUD,EASTERN EQUATORIA,KAPOETA SOUTH,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,6,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,29,31,60,26,27,53,7,Fail,moderate,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14,0,0,0,28.57,14.29,0.12
SSUD,EASTERN EQUATORIA,KAPOETA SOUTH,SSD-79DS-09-2020,nOPV2,Rnd2,21,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,LAPON,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,32,28,60,23,20,43,17,Fail,poor,3,1,0,0,0,10,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,17.65,5.88,0,0,0,58.82,17.65,0.28
SSUD,EASTERN EQUATORIA,LAPON,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,31,29,60,29,28,57,3,Pass,high,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
SSUD,EASTERN EQUATORIA,LAPON,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,36,24,60,36,23,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
SSUD,EASTERN EQUATORIA,MAGWI,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd1,21,2025-09-23T00:00:00Z,2025-09-27,2025-09-28,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,MAGWI,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd2,21,2025-11-04T00:00:00Z,2025-11-08,2025-11-09,36,24,60,35,22,57,3,Pass,high,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0.05
SSUD,EASTERN EQUATORIA,MAGWI,RSSmOPV10C2021,nOPV2,Rnd1,21,2021-02-17T00:00:00Z,2021-02-21,2021-06-03,33,27,60,28,27,55,5,Fail,moderate,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20,20,20,0,0,40,0,0.08
SSUD,EASTERN EQUATORIA,MAGWI,RSSmOPV10C2021,nOPV2,Rnd2,21,2021-01-02T00:00:00Z,2021-01-06,2021-05-31,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,MAGWI,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,30,30,60,28,30,58,2,Pass,high,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.03
SSUD,EASTERN EQUATORIA,MAGWI,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,33,27,60,19,17,36,24,Fail,very poor,1,4,7,0,1,7,4,0,2,3,1,0,0,1,0,0,1,0,0,0,0,4.17,16.67,29.17,0,4.17,29.17,16.67,0.4
SSUD,EASTERN EQUATORIA,MAGWI,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,EASTERN EQUATORIA,MAGWI,SSD-79DS-09-2020,nOPV2,Rnd2,21,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,26,34,60,21,31,52,8,Fail,moderate,0,2,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37.5,0,12.5,12.5,12.5,0.13
SSUD,EASTERN EQUATORIA,TORIT,RSSmOPV10C2021,nOPV2,Rnd1,21,2021-02-17T00:00:00Z,2021-02-21,2021-02-23,32,28,60,31,27,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
SSUD,EASTERN EQUATORIA,TORIT,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,36,24,60,35,20,55,5,Fail,moderate,0,0,2,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,20,0.08
SSUD,EASTERN EQUATORIA,TORIT,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,31,29,60,24,22,46,14,Fail,poor,0,6,2,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42.86,14.29,0,0,21.43,21.43,0.23
SSUD,EASTERN EQUATORIA,TORIT,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,7,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,29,31,60,29,30,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
SSUD,EASTERN EQUATORIA,TORIT,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,31,29,60,31,27,58,2,Pass,high,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0.03
SSUD,EASTERN EQUATORIA,TORIT,SSD-79DS-09-2020,nOPV2,Rnd2,21,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,31,29,60,29,29,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
SSUD,JONGLEI,AKOBO,RSSmOPV10C2021,nOPV2,Rnd2,21,2021-01-02T00:00:00Z,2021-01-06,2021-05-31,29,31,60,28,30,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
SSUD,JONGLEI,AKOBO,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,JONGLEI,AKOBO,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,33,27,60,32,25,57,3,Pass,high,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,66.67,0.05
