country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_farm,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SEN,RM KAOLACK,GUINGUINEO,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KAOLACK,KAOLACK,SEN_VPOn,nOPV2,Rnd1,23,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,23,37,60,21,29,50,10,Fail,poor,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,90,0,0.17
SEN,RM KAOLACK,KAOLACK,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,26,34,60,24,31,55,5,Fail,moderate,2,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,40,0,60,0,0,0,0,0.08
SEN,RM KAOLACK,NDOFFANE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,25,29,54,6,Fail,moderate,1,1,3,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,16.67,16.67,50,16.67,0,0,0,0.1
SEN,RM KAOLACK,NDOFFANE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KAOLACK,NIORO,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KAOLACK,NIORO,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KEDOUGOU,KEDOUGOU,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,26,31,57,3,Pass,high,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05
SEN,RM KEDOUGOU,KEDOUGOU,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,30,30,60,28,30,58,2,Pass,high,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0.03
SEN,RM KEDOUGOU,SALEMATA,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,27,30,57,3,Pass,high,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
SEN,RM KEDOUGOU,SALEMATA,SEN_VPOn,nOPV2,Rnd2,21,2022-02-26T00:00:00Z,2022-03-02,2022-03-03,31,29,60,30,28,58,2,Pass,high,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0.03
SEN,RM KEDOUGOU,SARAYA,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-24,36,24,60,26,19,45,15,Fail,poor,0,4,6,0,0,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,26.67,40,0,0,33.33,0,0.25
SEN,RM KEDOUGOU,SARAYA,SEN_VPOn,nOPV2,Rnd2,20,2022-02-26T00:00:00Z,2022-03-02,2022-03-04,30,30,60,24,23,47,13,Fail,poor,0,3,4,0,0,6,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,23.08,30.77,0,0,46.15,0,0.22
SEN,RM KOLDA,KOLDA,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,29,31,60,25,24,49,11,Fail,poor,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.18
SEN,RM KOLDA,KOLDA,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,RM KOLDA,MEDINA YORO FOULAH,SEN_VPOn,nOPV2,Rnd1,19,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,30,30,60,27,30,57,3,Pass,high,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
SEN,RM KOLDA,MEDINA YORO FOULAH,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,33,27,60,33,25,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
SEN,RM KOLDA,VELINGARA,SEN_VPOn,nOPV2,Rnd1,18,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,27,22,49,11,Fail,poor,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,90.91,0,0.18
