country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_nopvconcern,nc_reason_child_sick,nc_reason_religious_cultural,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NAM,OMUSATI,OUTAPI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,30,30,60,29,26,55,5,Fail,moderate,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,40,0.08
NAM,OMUSATI,TSANDI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,30,30,60,29,30,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
NAM,OMUSATI,TSANDI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OSHANA,OSHAKATI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,21,39,60,18,37,55,5,Fail,moderate,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.08
NAM,OSHANA,OSHAKATI,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,29,31,60,21,26,47,13,Fail,poor,0,0,1,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,84.62,0.22
NAM,OSHIKOTO,OMUTHIYA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,26,25,51,9,Fail,poor,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,0,0,55.56,0.15
NAM,OSHIKOTO,OMUTHIYA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OSHIKOTO,ONANDJOKWE,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,20,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,OSHIKOTO,ONANDJOKWE,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,29,31,60,26,28,54,6,Fail,moderate,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,66.67,16.67,0,0,0,0,16.67,0.1
NAM,OSHIKOTO,TSUMEB,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,27,26,53,7,Fail,moderate,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.12
