country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,NIAMEY,NIAMEY 5,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,24,36,60,23,34,57,3,Pass,high,1,1,1,0,0,0,0,71.67,0,0,1,0,0,0,0,0,0,1,0,0,33.33,33.33,33.33,0,0,0,0,0.05
NIG,NIAMEY,NIAMEY 5,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,28,32,60,27,31,58,2,Pass,high,0,1,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0.03
NIG,NIAMEY,NIAMEY 5,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,36,24,60,36,22,58,2,Pass,high,0,1,1,0,0,0,0,98.33,0,0,0,0,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
NIG,NIAMEY,NIAMEY 5,NIG-2025-10-01_nOPV_sNID,nOPV2,Rnd1,21,2026-01-11T00:00:00Z,2026-01-15,2026-01-16,28,32,60,27,28,55,5,Fail,moderate,0,5,0,0,0,0,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.08
NIG,TAHOUA,ABALAK,NIG-2023-05-01_nOPV,nOPV2,Rnd2,6,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,49,11,60,49,11,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,ABALAK,NIG-2024-06-01_nOPV,nOPV2,Rnd1,18,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,ABALAK,NIG-2024-06-01_nOPV,nOPV2,Rnd2,11,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,ABALAK,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,30,30,60,29,27,56,4,Fail,moderate,0,0,4,0,0,0,0,93.33,0,0,0,1,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07
NIG,TAHOUA,ABALAK,NIG-2024-10-01_nOPV,nOPV2,Rnd2,17,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,21,39,60,20,39,59,1,Pass,high,0,0,1,0,0,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NIG,TAHOUA,ABALAK,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,15,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
