country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_school,abs_reason_in_playground,nc_reason_religious_cultural,nc_reason_vaccines_safety,nc_reason_no_felt_need,nc_reason_child_sick,nc_reason_others,nc_reason_too_many_rnd,nc_reason_no_care_giver_consent,nc_reason_nopvconcern,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
MOZ,CABO DELGADO,METUGE,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd2,21,2025-07-08T00:00:00Z,2025-07-12,2025-07-13,25,35,60,25,34,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MLW_WPV1,bOPV,Rnd1,21,2022-03-27T00:00:00Z,2022-03-31,2022-03-31,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MLW_WPV1,bOPV,Rnd2,6,2022-06-01T00:00:00Z,2022-06-05,2022-06-05,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MLW_WPV1,bOPV,Rnd3,21,2022-07-09T00:00:00Z,2022-07-13,2022-07-14,28,32,60,28,31,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MLW_WPV1,bOPV,Rnd4,21,2022-08-22T00:00:00Z,2022-08-26,2022-08-27,26,34,60,23,28,51,9,Fail,poor,0,2,4,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,22.22,44.44,0,0,0,33.33,0.15
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MLW_WPV1,bOPV,Rnd6,12,2022-12-13T00:00:00Z,2022-12-17,2022-12-18,26,34,60,18,25,43,17,Fail,poor,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.28
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2023-05-01_bOPV,bOPV,Rnd1,21,2023-06-15T00:00:00Z,2023-06-19,2023-06-20,37,23,60,33,16,49,11,Fail,poor,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.18
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2023-05-01_bOPV,bOPV,Rnd2,20,2023-09-15T00:00:00Z,2023-09-19,2023-09-20,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2024-04-01_bOPV,bOPV,Rnd1,21,2024-05-28T00:00:00Z,2024-06-01,2024-06-02,30,30,60,29,30,59,1,Pass,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2024-04-01_bOPV,bOPV,Rnd2,12,2024-07-30T00:00:00Z,2024-08-03,2024-08-04,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd1,21,2025-06-02T00:00:00Z,2025-06-06,2025-06-07,31,29,60,25,24,49,11,Fail,poor,0,1,10,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,90.91,0,0,0,0,0.18
MOZ,CABO DELGADO,MOCIMBOA DA PRAIA,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd2,21,2025-07-08T00:00:00Z,2025-07-12,2025-07-13,33,27,60,32,26,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MOZ,CABO DELGADO,MONTEPUEZ,MLW_WPV1,bOPV,Rnd1,21,2022-03-26T00:00:00Z,2022-03-30,2022-03-31,28,32,60,7,10,17,43,Fail,very poor,0,35,7,0,0,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,81.4,16.28,0,0,0,2.33,0.72
MOZ,CABO DELGADO,MONTEPUEZ,MLW_WPV1,bOPV,Rnd2,9,2022-04-01T00:00:00Z,2022-04-05,2022-05-05,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,MONTEPUEZ,MLW_WPV1,bOPV,Rnd3,20,2022-07-09T00:00:00Z,2022-07-13,2022-07-14,27,33,60,25,32,57,3,Pass,high,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.33,0,0,33.33,0,33.33,0,0.05
MOZ,CABO DELGADO,MONTEPUEZ,MLW_WPV1,bOPV,Rnd4,21,2022-08-21T00:00:00Z,2022-08-25,2022-08-26,32,28,60,32,27,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
MOZ,CABO DELGADO,MONTEPUEZ,MLW_WPV1,bOPV,Rnd6,21,2022-12-13T00:00:00Z,2022-12-17,2022-12-18,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
