country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,CONAKRY,RATOMA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,33,27,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,CONAKRY,RATOMA,bOPV,bOPV,Rnd1,22,2021-10-24T00:00:00Z,2021-10-28,2021-10-30,33,27,60,22,14,36,24,Fail,very poor,2,18,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,8.33,75,8.33,0,0,8.33,0,0.4
GUI,FARANAH,DABOLA,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,36,24,60,35,24,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GUI,FARANAH,DABOLA,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,FARANAH,DABOLA,GUI-2024-06-LIDs_nOPV,nOPV2,Rnd1,21,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,34,26,60,33,24,57,3,Pass,high,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.05
GUI,FARANAH,DABOLA,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,30,30,60,26,28,54,6,Fail,moderate,0,0,6,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.1
GUI,FARANAH,DABOLA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,30,30,60,30,29,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
GUI,FARANAH,DABOLA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,FARANAH,DABOLA,KANKAN-mOPV,mOPV,Rnd1,29,2020-09-06T00:00:00Z,2020-09-10,2020-10-14,31,29,60,17,19,36,24,Fail,very poor,0,7,17,0,0,0,0,0,7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,29.17,70.83,0,0,0,0,0.4
GUI,FARANAH,DABOLA,KANKAN-mOPV,mOPV,Rnd2,6,2020-12-19T00:00:00Z,2020-12-23,2020-12-25,29,31,60,29,28,57,3,Pass,high,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,33.33,0,33.33,0,0,33.33,0,0.05
