country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_in_playground,abs_reason_other,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
LIB,MARYLAND,KARLUWAY 2 DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,KARLUWAY 2 DISTRICT,Liberia,nOPV2,Rnd2,21,2021-05-30T00:00:00Z,2021-06-03,2021-06-05,44,16,60,44,16,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,PLEEBO DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,PLEEBO DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,PLEEBO DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,17,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MARYLAND,PLEEBO DISTRICT,Liberia,nOPV2,Rnd2,21,2021-05-30T00:00:00Z,2021-06-03,2021-06-05,45,15,60,45,15,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,BUSHROD DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,9,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,36,24,60,23,20,43,17,Fail,poor,0,3,14,0,0,0,0,96.67,6,0,4,0,4,0,0,0,0,0,0,0,0,17.65,82.35,0,0,0,0,0.28
LIB,MONTSERRADO,BUSHROD DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,71.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,BUSHROD DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,9,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,BUSHROD DISTRICT,Liberia,nOPV2,Rnd1,6,2021-04-04T00:00:00Z,2021-04-08,2021-04-08,6,4,10,5,3,8,52,Fail,very poor,1,0,1,0,0,0,50,100,0,0,0,0,0,1,0,0,1,0,0,0,1.92,0,1.92,0,0,0,96.15,5.2
