country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,BAUCHI,SHIRA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,36,24,60,36,24,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,TAFAWA-BALEWA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,29,31,60,29,30,59,1,0,0,0,0,0,52,86.67,1,Pass,high,0,1,0,0,0,0,0,100
NIE,BAUCHI,TORO,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,23,37,60,23,36,59,1,0,0,1,0,0,15,25,1,Pass,high,1,0,0,0,100,0,0,0
NIE,BAUCHI,WARJI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,27,33,60,27,33,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BAUCHI,ZAKI,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,32,28,60,32,28,60,0,0,0,0,0,0,58,96.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,ABADAM,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,33,27,60,32,27,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
NIE,BORNO,ASKIRA/UBA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,37,23,60,37,23,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,BAMA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,22,38,60,22,38,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,BAYO,OBR_name,nOPV2,Rnd5,6,2026-05-06,2026-05-10,2026-05-11,2026,34,26,60,34,25,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
NIE,BORNO,BIU,OBR_name,nOPV2,Rnd5,8,2026-05-05,2026-05-09,2026-05-10,2026,45,35,80,30,27,57,23,1,0,2,0,0,69,86.25,23,Fail,very poor,3,20,4.35,0,8.7,0,0,86.96
NIE,BORNO,CHIBOK,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,28,32,60,28,32,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,DAMBOA,OBR_name,nOPV2,Rnd5,6,2026-05-06,2026-05-10,2026-05-11,2026,27,33,60,27,33,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,DIKWA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,30,30,60,30,30,60,0,0,0,0,0,0,32,53.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,GUBIO,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,33,27,60,33,25,58,2,0,0,2,0,0,60,100,2,Pass,high,2,0,0,0,100,0,0,0
NIE,BORNO,GUZAMALA,OBR_name,nOPV2,Rnd5,6,2026-05-05,2026-05-09,2026-05-10,2026,29,31,60,29,28,57,3,1,0,2,0,0,60,100,3,Pass,high,3,0,33.33,0,66.67,0,0,0
NIE,BORNO,GWOZA,OBR_name,nOPV2,Rnd5,6,2026-05-06,2026-05-10,2026-05-11,2026,32,28,60,32,28,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,BORNO,HAWUL,OBR_name,nOPV2,Rnd5,6,2026-05-06,2026-05-10,2026-05-11,2026,30,30,60,30,30,60,0,0,0,0,0,0,58,96.67,0,Pass,high,0,0,0,0,0,0,0,0
